customer_id,cluster
20740,4
37073,5
11084,4
2206,5
4034,6
19780,4
38645,5
10733,5
10530,5
32364,5
7006,4
5288,4
24474,4
17412,4
30684,6
19232,4
2631,6
3542,4
36401,6
29122,6
27440,5
16350,6
4089,4
25313,6
18790,6
23125,4
7185,5
9576,6
18710,5
10345,6
25002,6
11234,5
28378,5
32586,6
970,5
36294,6
22353,5
25750,6
9477,5
25039,5
18552,4
38158,5
39286,4
11071,4
8547,5
183,4
25642,6
28564,5
24283,5
23828,4
7986,5
27443,5
6566,5
13477,6
37519,6
38089,5
4673,5
17223,4
4270,5
18383,5
35610,5
16634,5
19073,4
28739,4
8573,4
31508,6
26474,5
26523,6
23249,5
6453,4
2558,5
16150,4
39892,6
151,6
27607,5
17090,4
23903,6
1819,5
28641,5
13801,5
24457,6
5307,6
23472,5
22049,5
6430,4
1248,5
38968,4
27697,6
34249,5
5449,5
3523,4
17532,5
9727,5
19838,4
21228,5
14251,5
16978,5
14842,5
15018,4
13499,5
16233,4
9799,5
35203,5
18722,6
8675,6
35609,4
12149,5
37836,4
21200,6
13897,5
5430,5
3552,5
12532,5
22378,5
6458,5
17157,5
34966,5
28368,5
37728,4
20917,5
30080,5
9005,4
33457,6
18245,5
16490,6
15806,4
10343,5
37313,6
26892,4
23222,5
1943,5
22003,4
15384,5
16429,6
33779,6
39459,6
35625,4
31538,5
23814,5
694,5
26176,6
7325,6
21004,4
5238,6
37006,6
11471,4
17333,5
36906,5
28026,6
2504,4
30455,6
29109,5
28425,4
10349,6
29105,5
29041,5
33139,5
12200,5
17785,4
2391,5
23398,6
30674,6
30140,4
31,4
39685,6
37025,5
27776,6
4821,5
32513,5
8310,5
16002,5
12650,5
10940,4
18181,5
17909,5
4546,6
23589,4
33280,5
37211,5
22589,5
15365,6
4258,5
31324,6
26457,6
34632,5
8783,4
12271,4
39195,4
32913,5
8651,6
39029,6
11118,6
33716,6
25059,5
13709,4
39502,5
33098,4
30894,5
26209,4
28449,6
22606,5
12157,5
28201,4
11065,6
33946,6
25537,6
15689,4
13142,5
5617,6
38472,5
16840,6
17638,4
11940,4
38630,6
17390,5
12899,4
37265,4
25773,5
29,5
35000,5
37520,5
32188,5
18384,5
15671,5
10686,6
17164,4
915,5
24367,6
18903,5
32522,4
12043,6
37950,5
11521,4
26254,5
18459,5
1754,5
18939,5
25614,5
21979,5
30315,6
31831,4
39513,5
35750,5
2633,6
15418,6
22008,5
24547,4
6978,6
15950,5
6189,6
5491,5
6669,6
35280,4
28187,4
21028,5
8160,6
7375,5
13383,5
11842,6
25617,4
20550,5
37271,6
15300,5
33489,4
2585,6
11760,6
33938,5
11564,5
13110,5
11006,4
23272,6
11734,5
15723,6
33836,5
34109,5
1283,5
524,4
37095,5
28163,6
36374,5
26204,5
33666,4
35974,4
7833,5
32043,5
33741,5
10726,5
24760,5
8129,6
11026,6
2293,4
1490,5
38230,4
37005,5
